number_of_steps avg_p1 avg_p2
1000 0.5 -0.75
2000 1.0 -0.5
3000 0.5 0.5
4000 0.5 -0.25
5000 0.0 0.0
6000 0.5 -0.25
7000 0.0 -0.5
8000 0.5 0.75
9000 0.5 0.25
10000 0.5 -0.25
11000 0.5 -0.25
12000 0.5 -0.25
13000 1.0 0.0
14000 0.5 -0.25
15000 0.0 -0.5
16000 0.5 -0.75
17000 0.5 -0.25
18000 1.0 -0.75
19000 0.5 0.0
20000 1.0 0.0
21000 1.0 -0.25
22000 0.5 0.25
23000 1.0 -0.5
24000 0.0 -0.25
25000 0.0 -0.25
26000 0.5 0.25
27000 0.5 -0.75
28000 0.5 -0.25
29000 0.5 0.5
30000 0.5 0.25
31000 1.0 0.0
32000 1.0 0.75
33000 0.5 -0.25
34000 1.0 0.75
35000 1.0 -0.5
36000 0.0 0.0
37000 1.0 0.25
38000 0.5 0.25
39000 0.5 0.25
40000 1.0 0.5
41000 0.5 0.0
42000 0.5 -0.25
43000 1.0 -0.75
44000 0.5 -0.25
45000 0.5 0.0
46000 1.0 -0.25
47000 1.0 0.0
48000 0.5 0.75
49000 0.0 0.25
50000 -0.5 0.0
51000 -0.5 0.25
52000 0.0 -0.5
53000 1.0 -0.5
54000 0.0 0.25
55000 0.0 0.0
56000 0.5 0.75
57000 0.5 0.5
58000 -0.5 0.0
59000 0.5 0.25
60000 0.5 -0.5
61000 1.0 0.0
62000 0.0 0.0
63000 0.0 -0.25
64000 1.0 0.25
65000 0.0 0.0
66000 0.0 0.25
67000 1.0 0.0
68000 1.0 -0.25
69000 1.0 0.0
70000 0.0 -0.25
71000 1.0 -0.5
72000 -0.5 0.25
73000 0.0 0.25
74000 1.0 0.75
75000 -0.5 -0.25
76000 0.5 0.75
77000 0.5 0.5
78000 0.0 0.5
79000 0.5 -0.25
80000 1.0 -0.5
81000 1.0 -0.25
82000 1.0 0.5
83000 0.0 -0.5
84000 0.0 -0.25
85000 0.5 -0.25
86000 0.5 0.25
87000 0.5 -0.5
88000 0.0 0.0
89000 0.5 0.0
90000 1.0 0.5
91000 0.5 -0.5
92000 0.5 0.75
93000 0.5 -0.25
94000 0.0 0.25
95000 0.0 -0.25
96000 0.5 0.0
97000 0.5 -0.75
98000 0.5 0.0
99000 0.5 0.0
100000 0.5 0.25
101000 -0.5 -0.25
102000 1.0 -0.5
103000 0.5 -0.25
104000 1.0 0.25
105000 1.0 0.5
106000 -0.5 -0.25
107000 1.0 0.25
108000 0.0 -0.5
109000 0.5 -0.25
110000 0.5 0.0
111000 0.5 0.5
112000 1.0 -0.5
113000 1.0 0.75
114000 0.5 -0.25
115000 0.5 -0.5
116000 0.0 -0.25
117000 0.0 -0.25
118000 0.5 0.5
119000 0.0 0.0
120000 0.5 0.25
121000 0.5 0.25
122000 0.5 -0.25
123000 0.0 0.0
124000 1.0 0.25
125000 1.0 -0.25
126000 0.5 -0.5
127000 0.0 0.0
128000 0.0 0.5
129000 0.0 0.25
130000 0.5 0.25
131000 0.5 0.0
132000 0.0 0.0
133000 -0.5 0.0
134000 1.0 0.5
135000 0.0 -0.25
136000 0.5 0.25
137000 1.0 0.0
138000 0.0 0.0
139000 -0.5 0.0
140000 0.5 0.0
141000 1.0 0.0
142000 0.5 -0.5
143000 0.5 0.0
144000 1.0 0.5
145000 0.5 -0.25
146000 1.0 0.0
147000 0.0 -0.5
148000 0.0 0.25
149000 0.5 0.25
150000 0.5 0.25
151000 0.0 0.0
152000 0.0 0.5
153000 1.0 0.25
154000 1.0 -0.75
155000 -0.5 0.25
156000 0.0 0.25
157000 1.0 0.0
158000 0.5 0.0
159000 0.0 -0.25
160000 0.0 0.0
161000 0.5 0.0
162000 0.0 -0.25
163000 1.0 0.0
164000 0.5 0.0
165000 0.0 -0.25
166000 0.5 0.25
167000 0.0 -0.25
168000 0.0 -0.25
169000 1.0 0.5
170000 1.0 0.5
171000 0.5 -0.25
172000 0.5 0.0
173000 0.5 0.0
174000 0.5 0.0
175000 0.5 0.0
176000 1.0 1.0
177000 -0.5 -0.25
178000 1.0 0.25
179000 1.0 -0.5
180000 0.5 0.25
181000 0.5 0.5
182000 1.0 -0.25
183000 0.5 0.0
184000 -0.5 -0.25
185000 0.5 0.0
186000 0.5 0.25
187000 1.0 -0.25
188000 0.5 0.25
189000 0.0 0.0
190000 1.0 0.5
191000 1.0 -0.5
192000 1.0 0.0
193000 0.5 -0.25
194000 -0.5 0.0
195000 1.0 -0.75
196000 0.0 0.25
197000 0.5 -0.5
198000 0.5 -0.5
199000 0.0 -0.5
200000 0.5 -0.75
201000 0.5 0.5
202000 0.0 -0.25
203000 0.0 -0.25
204000 1.0 -0.25
205000 0.0 -0.5
206000 1.0 0.25
207000 0.5 0.25
208000 0.5 0.75
209000 0.5 0.25
210000 1.0 0.25
211000 0.5 -0.5
212000 0.0 0.5
213000 0.0 0.0
214000 0.5 0.5
215000 0.5 -0.25
216000 0.5 0.0
217000 1.0 0.5
218000 0.5 0.25
219000 1.0 0.0
220000 0.0 0.0
221000 1.0 0.0
222000 0.5 0.0
223000 0.0 0.25
224000 1.0 -0.25
225000 1.0 -0.75
226000 1.0 0.0
227000 1.0 -0.5
228000 0.5 0.0
229000 1.0 0.25
230000 1.0 0.5
231000 1.0 0.25
232000 1.0 -0.75
233000 0.5 0.25
234000 0.0 0.0
235000 0.5 0.5
236000 0.0 -0.5
237000 0.0 0.0
238000 0.5 0.0
239000 1.0 0.0
240000 1.0 0.25
241000 0.5 -0.25
242000 0.5 0.0
243000 0.0 0.0
244000 -0.5 -0.25
245000 0.5 -0.25
246000 0.5 -0.25
247000 0.0 0.0
248000 0.0 0.0
249000 1.0 -0.5
250000 0.5 0.0
251000 0.5 -0.25
252000 1.0 -0.75
253000 1.0 0.0
254000 1.0 -0.25
255000 0.0 0.5
256000 1.0 0.0
257000 1.0 0.0
258000 1.0 0.25
259000 0.0 -0.25
260000 0.5 0.25
261000 0.5 0.0
262000 0.5 0.25
263000 1.0 0.5
264000 1.0 -0.25
265000 1.0 -0.25
266000 0.5 0.25
267000 0.5 -0.25
268000 0.5 0.25
269000 1.0 -1.0
270000 0.0 -0.25
271000 0.0 0.0
272000 0.5 0.0
273000 0.5 -0.5
274000 0.5 0.25
275000 -0.5 -0.25
276000 0.5 0.25
277000 0.5 -0.25
278000 0.0 0.5
279000 1.0 0.5
280000 0.5 -0.25
281000 0.5 -0.25
282000 1.0 -0.25
283000 1.0 0.25
284000 0.0 0.25
285000 1.0 -0.25
286000 1.0 -0.5
287000 0.5 0.25
288000 0.5 0.25
289000 1.0 -0.5
290000 0.5 0.75
291000 0.0 -0.5
292000 0.0 -0.25
293000 -0.5 0.25
294000 0.5 -0.25
295000 0.0 0.0
296000 0.5 0.25
297000 1.0 -0.25
298000 1.0 0.0
299000 1.0 -0.75
300000 1.0 0.25
301000 1.0 0.25
302000 0.5 0.5
303000 0.0 0.25
304000 0.5 0.0
305000 1.0 0.0
306000 -0.5 -0.25
307000 0.0 0.25
308000 1.0 -0.5
309000 0.5 -0.25
310000 1.0 0.25
311000 1.0 0.5
312000 0.5 0.0
313000 0.5 0.0
314000 0.5 0.5
315000 0.5 -0.5
316000 1.0 0.0
317000 1.0 0.5
318000 0.5 0.25
319000 1.0 -0.25
320000 0.5 -0.5
321000 1.0 -0.5
322000 0.5 0.0
323000 0.5 -0.5
324000 1.0 -0.25
325000 -0.5 -0.25
326000 0.0 0.0
327000 0.5 0.25
328000 0.5 -0.25
329000 0.0 0.25
330000 0.5 0.0
331000 1.0 0.5
332000 0.0 0.25
333000 1.0 0.75
334000 0.5 -0.25
335000 1.0 1.0
336000 0.0 0.0
337000 0.5 -0.25
338000 0.0 -0.25
339000 1.0 -0.25
340000 0.0 -0.5
341000 0.5 0.0
342000 0.5 -0.25
343000 0.5 -0.75
344000 0.5 0.0
345000 1.0 -0.25
346000 0.0 0.0
347000 -0.5 -0.25
348000 0.0 0.0
349000 0.0 -0.25
350000 0.5 -0.5
351000 0.0 0.25
352000 1.0 0.5
353000 0.0 -0.5
354000 1.0 -0.5
355000 -0.5 0.25
356000 1.0 -0.5
357000 1.0 0.0
358000 1.0 0.75
359000 0.5 0.25
360000 1.0 -0.75
361000 1.0 -0.75
362000 0.5 -0.75
363000 1.0 0.25
364000 1.0 0.25
365000 0.5 0.25
366000 1.0 0.25
367000 0.0 -0.25
368000 0.5 0.25
369000 -0.5 0.0
370000 0.5 0.0
371000 0.5 -0.25
372000 1.0 -0.25
373000 0.0 0.25
374000 1.0 0.0
375000 1.0 0.0
376000 0.0 0.25
377000 1.0 -0.75
378000 0.5 0.0
379000 0.5 0.25
380000 0.5 0.25
381000 0.5 -0.5
382000 0.5 0.0
383000 1.0 -0.25
384000 0.5 0.25
385000 0.5 0.0
386000 0.5 0.25
387000 0.5 0.25
388000 1.0 -0.25
389000 0.0 -0.25
390000 0.5 -0.25
391000 0.0 -0.25
392000 1.0 -0.25
393000 0.5 -0.75
394000 0.5 0.25
395000 0.5 0.25
396000 1.0 -0.25
397000 1.0 -0.75
398000 -0.5 0.25
399000 1.0 0.0
400000 0.0 0.25
401000 0.5 0.25
402000 1.0 1.0
403000 0.5 0.25
404000 0.5 0.5
405000 0.5 -0.25
406000 0.0 -0.5
407000 0.5 0.5
408000 0.5 -0.5
409000 0.5 0.25
410000 -0.5 -0.25
411000 0.5 -0.5
412000 0.5 0.0
413000 -0.5 0.0
414000 1.0 0.0
415000 1.0 0.75
416000 0.0 0.0
417000 0.5 -0.25
418000 0.5 -0.5
419000 1.0 0.25
420000 0.5 0.5
421000 -0.5 0.25
422000 0.5 0.0
423000 0.5 -0.25
424000 1.0 -0.75
425000 0.0 0.5
426000 0.0 -0.25
427000 0.0 0.0
428000 0.0 -0.25
429000 0.0 0.25
430000 0.5 0.5
431000 1.0 0.75
432000 1.0 0.0
433000 0.5 0.25
434000 0.5 0.0
435000 1.0 0.5
436000 0.5 0.0
437000 0.5 0.25
438000 1.0 -0.25
439000 0.5 -0.25
440000 0.5 0.5
441000 -0.5 0.25
442000 0.5 0.25
443000 1.0 0.0
444000 0.5 -0.25
445000 0.5 0.0
446000 0.5 0.75
447000 0.0 0.0
448000 1.0 -0.5
449000 0.5 0.5
450000 1.0 -0.5
451000 0.5 0.25
452000 0.5 -0.75
453000 0.5 0.25
454000 0.0 0.0
455000 1.0 -0.5
456000 0.5 0.5
457000 0.5 0.25
458000 0.5 0.25
459000 -0.5 0.25
460000 0.5 0.0
461000 1.0 0.25
462000 0.5 0.75
463000 1.0 0.75
464000 0.5 0.5
465000 0.5 -0.75
466000 1.0 0.0
467000 0.5 0.25
468000 1.0 0.0
469000 1.0 0.0
470000 1.0 0.25
471000 1.0 -0.75
472000 0.0 0.0
473000 1.0 -0.5
474000 1.0 -0.25
475000 1.0 -0.25
476000 1.0 0.0
477000 1.0 -0.5
478000 1.0 0.0
479000 1.0 0.0
480000 0.0 -0.25
481000 0.0 0.0
482000 1.0 -0.25
483000 0.0 0.0
484000 1.0 0.5
485000 1.0 -0.25
486000 0.5 0.75
487000 0.5 0.0
488000 -0.5 -0.25
489000 0.5 0.25
490000 1.0 -0.25
491000 1.0 -0.5
492000 1.0 -0.5
493000 0.5 0.25
494000 1.0 -0.25
495000 1.0 0.25
496000 0.5 0.5
497000 1.0 1.0
498000 0.0 -0.5
499000 0.5 0.5
500000 0.0 0.25
501000 0.5 0.25
502000 0.5 0.5
503000 1.0 0.25
504000 0.5 -0.5
505000 1.0 0.25
506000 0.0 -0.5
507000 0.0 0.0
508000 0.5 0.0
509000 0.5 0.25
510000 0.5 0.5
511000 1.0 0.0
512000 1.0 0.5
513000 1.0 -0.5
514000 0.0 0.0
515000 0.5 -0.5
516000 -0.5 0.25
517000 0.5 -0.25
518000 1.0 -0.5
519000 0.5 0.75
520000 1.0 0.5
521000 0.5 0.25
522000 1.0 -0.5
523000 0.0 0.0
524000 1.0 0.25
525000 0.0 0.0
526000 0.5 0.25
527000 -0.5 -0.25
528000 0.5 0.0
529000 1.0 -0.25
530000 0.5 -0.25
531000 1.0 0.0
532000 -0.5 0.0
533000 0.5 -0.25
534000 1.0 1.0
535000 0.5 0.5
536000 0.5 -0.25
537000 0.0 0.0
538000 0.5 0.5
539000 1.0 0.5
540000 1.0 0.25
541000 1.0 0.0
542000 1.0 -0.5
543000 1.0 0.0
544000 1.0 0.0
545000 0.0 0.0
546000 0.5 -0.25
547000 0.5 0.75
548000 1.0 -0.5
549000 0.5 -0.25
550000 1.0 -0.75
551000 0.5 -0.25
552000 1.0 0.25
553000 0.5 -0.75
554000 1.0 1.0
555000 0.5 0.25
556000 1.0 0.75
557000 0.5 -0.5
558000 0.5 -0.25
559000 0.5 0.25
560000 1.0 0.25
561000 0.5 0.0
562000 0.0 0.0
563000 1.0 0.25
564000 0.0 -0.25
565000 -0.5 -0.25
566000 -0.5 0.0
567000 0.5 0.0
568000 0.0 0.0
569000 0.5 0.25
570000 0.0 0.25
571000 0.0 0.0
572000 0.5 -0.25
573000 1.0 -0.25
574000 0.5 0.0
575000 1.0 0.25
576000 -0.5 0.0
577000 0.5 -0.25
578000 0.5 -0.75
579000 0.5 -0.75
580000 0.5 -0.25
581000 1.0 0.25
582000 0.5 0.25
583000 0.5 0.0
584000 0.5 0.0
585000 0.5 0.25
586000 0.5 -0.5
587000 0.5 -0.75
588000 0.0 0.5
589000 0.5 -0.25
590000 0.5 0.0
591000 1.0 0.75
592000 0.5 -0.25
593000 1.0 0.25
594000 0.0 0.5
595000 0.5 -0.25
596000 1.0 -0.25
597000 1.0 0.0
598000 0.5 0.0
599000 0.5 0.25
600000 0.0 0.0
601000 0.5 0.0
602000 0.5 0.0
603000 0.5 -0.75
604000 0.0 0.0
605000 0.5 -0.25
606000 0.5 0.25
607000 1.0 -0.5
608000 0.0 0.5
609000 0.5 -0.25
