SourceLanguageCode	TargetLanguageCode	SourceLanguageName	TargetLanguageName	SourcePopulation	TargetPopulations	Coocurrences	PhiCorrelation	Tstatistic
abk	rus	Abkhazian	Russian	171	82772	106	0.02699584	8.59922041
abq	rus	Abaza	Russian	10	82772	8	0.00854557	2.72120386
ady	rus	Adyghe	Russian	75	82772	71	0.02790254	8.88826303
afr	eng	Afrikaans	English	357	146294	121	0.01397199	15.46715067
afr	nld	Afrikaans	Dutch	357	111371	108	0.01467469	4.89776253
akk	eng	Akkadian	English	136	146294	31	0.00512228	5.66993865
alt	rus	Southern Altai	Russian	56	82772	48	0.02173742	6.92332472
ang	eng	Old English (ca. 450-1100)	English	147	146294	88	0.01748171	19.35352245
ara	eng	Arabic	English	11884	146294	1621	0.02094705	23.19144543
ara	fas	Arabic	Persian	11884	11329	694	0.05489792	6.14360023
ara	fra	Arabic	French	11884	238463	2085	0.01624855	7.56350918
ara	msa	Arabic	Malay (macrolanguage)	11884	5416	1029	0.12515167	14.0953672
ara	sqi	Arabic	Albanian	11884	6757	257	0.02476822	2.76846918
ara	tur	Arabic	Turkish	11884	11874	907	0.07141098	7.99994255
ara	urd	Arabic	Urdu	11884	1005	237	0.06722376	7.52866576
arc	eng	Official Aramaic (700-300 BCE)	English	347	146294	166	0.02080118	23.02988076
asm	eng	Assamese	English	95	146294	35	0.0079844	8.83823531
ast	spa	Asturian	Spanish	73	228910	49	0.01072	5.12920897
ava	rus	Avaric	Russian	186	82772	135	0.03327226	10.60051008
aze	rus	Azerbaijani	Russian	774	82772	435	0.05173823	16.49672012
bak	rus	Bashkir	Russian	357	82772	287	0.0513258	16.36486959
bam	fra	Bambara	French	29	238463	25	0.00881261	4.1017839
bdm	fra	Buduma	French	13	238463	13	0.00697793	3.24779357
bel	rus	Belarusian	Russian	1409	82772	707	0.06180437	19.71760838
ben	asm	Bengali	Assamese	2223	526	62	0.05688677	2.68527902
ben	eng	Bengali	English	2223	146294	487	0.0195875	21.68562481
ben	guj	Bengali	Gujarati	2223	524	64	0.05885128	2.7783282
ben	hin	Bengali	Hindi	2223	3506	490	0.17449061	8.35142462
ben	mal	Bengali	Malayalam	2223	1202	92	0.05559179	2.62395908
ben	ori	Bengali	Oriya (macrolanguage)	2223	752	195	0.15033988	7.16659332
bod	eng	Tibetan	English	1508	146294	426	0.0227934	25.23664926
bod	fra	Tibetan	French	1508	238463	286	0.00697063	3.24439398
bre	fra	Breton	French	212	238463	149	0.01880406	8.75345682
bua	rus	Buriat	Russian	128	82772	111	0.03326697	10.59882516
bul	eng	Bulgarian	English	3667	146294	437	0.00878993	9.72997973
bul	rus	Bulgarian	Russian	3667	82772	1113	0.05719576	18.24228928
cat	eng	Catalan	English	8328	146294	878	0.00986185	10.91664485
cat	eus	Catalan	Basque	8328	3923	313	0.05234291	7.03256841
cat	glg	Catalan	Galician	8328	2371	215	0.04650463	6.24635546
cat	spa	Catalan	Spanish	8328	228910	5343	0.10872846	52.33064901
ces	deu	Czech	German	17202	292124	3001	0.01138553	6.15408376
ces	eng	Czech	English	17202	146294	3118	0.04120546	45.64923675
ces	hun	Czech	Hungarian	17202	54989	1355	0.03077554	7.22007193
ces	slk	Czech	Slovak	17202	19641	3771	0.19855981	26.56991525
che	rus	Chechen	Russian	80	82772	62	0.02337885	7.44639239
chm	rus	Mari (Russia)	Russian	116	82772	97	0.03048719	9.7123281
chp	eng	Chipewyan	English	25	146294	18	0.00885033	9.79683826
chu	hbs	Church Slavic	Serbo-Croatian	80	45036	26	0.01297913	2.75456015
chv	rus	Chuvash	Russian	203	82772	169	0.04014509	12.79341891
ckt	rus	Chukot	Russian	33	82772	19	0.01096097	3.49043133
cop	eng	Coptic	English	177	146294	59	0.0096361	10.66672674
cor	eng	Cornish	English	9	146294	8	0.00668052	7.39486008
cos	fra	Corsican	French	50	238463	44	0.01184632	5.51398017
cre	dak	Cree	Dakota	117	23	14	0.26986552	3.00549514
cre	eng	Cree	English	117	146294	68	0.01508577	16.70038833
cre	oji	Cree	Ojibwa	117	25	16	0.29582528	3.32101449
crh	rus	Crimean Tatar	Russian	28	82772	18	0.01135416	3.61565551
cym	bre	Welsh	Breton	621	406	38	0.07547129	3.63771043
cym	eng	Welsh	English	621	146294	488	0.04855313	53.80708525
dak	eng	Dakota	English	25	146294	6	0.00235918	2.61138843
dan	eng	Danish	English	21239	146294	4253	0.05334751	59.13474379
dan	fao	Danish	Faroese	21239	415	70	0.02235651	5.69232906
dan	iku	Danish	Inuktitut	21239	304	179	0.06964324	17.77101282
dan	isl	Danish	Icelandic	21239	6514	652	0.05047558	12.86508789
dan	kal	Danish	Kalaallisut	21239	327	232	0.08727517	22.30121278
dan	nor	Danish	Norwegian	21239	45923	2247	0.05884183	15.00433629
dan	som	Danish	Somali	21239	102	35	0.02323127	5.91517512
dan	swe	Danish	Swedish	21239	71688	3462	0.07275973	19.53263708
dar	rus	Dargwa	Russian	83	82772	61	0.02252041	7.17282753
deu	ces	German	Czech	201718	64442	17462	0.10860413	59.04796088
deu	eng	German	English	201718	146294	28028	0.0934861	103.9352556
deu	fra	German	French	201718	238463	23153	0.00809881	4.37741562
deu	gsw	German	Swiss German	201718	116	52	0.00899903	4.8640231
deu	hbs	German	Serbo-Croatian	201718	45036	5034	0.01070997	5.78888926
deu	hun	German	Hungarian	201718	54989	10207	0.05279257	28.5733379
deu	ita	German	Italian	201718	59830	7795	0.02309977	12.48836867
deu	lav	German	Latvian	201718	8145	1012	0.00714897	3.86399424
deu	lit	German	Lithuanian	201718	15447	2140	0.014022	7.57939751
deu	nld	German	Dutch	201718	111371	15059	0.03583652	19.38148544
deu	pol	German	Polish	201718	76720	10116	0.02729348	14.75716015
deu	roh	German	Romansh	201718	284	223	0.02733785	14.78117015
deu	slk	German	Slovak	201718	19641	2525	0.01254649	6.78169879
deu	slv	German	Slovenian	201718	18719	3503	0.03103499	16.78197374
djj	eng	Djeebbana	English	18	146294	18	0.01072269	11.86966101
djk	nld	Eastern Maroon Creole	Dutch	26	111371	24	0.0136874	4.5681862
dlg	rus	Dolgan	Russian	12	82772	11	0.01079275	3.43685643
dum	eng	Middle Dutch (ca. 1050-1350)	English	84	146294	15	0.00280176	3.10128897
dum	nld	Middle Dutch (ca. 1050-1350)	Dutch	84	111371	36	0.01066941	3.56079736
egy	eng	Egyptian (Ancient)	English	235	146294	54	0.00680999	7.53816995
ell	eng	Modern Greek (1453-)	English	4862	146294	1669	0.05243348	58.11874512
ell	sqi	Modern Greek (1453-)	Albanian	4862	6757	112	0.01701664	2.81819046
eng	afr	English	Afrikaans	1225237	776	740	0.01516582	16.7890267
eng	chp	English	Chipewyan	1225237	123	108	0.00490975	5.43468185
eng	cym	English	Welsh	1225237	2312	2210	0.02633373	29.1590045
eng	dan	English	Danish	1225237	64799	40370	0.02573034	28.49043672
eng	deu	English	German	1225237	292124	183329	0.06130758	67.98945839
eng	ell	English	Modern Greek (1453-)	1225237	27422	16599	0.01263154	13.98301304
eng	est	English	Estonian	1225237	20605	11751	0.0041393	4.58183975
eng	fas	English	Persian	1225237	11329	7987	0.02239909	24.79985212
eng	fil	English	Filipino (macrolanguage)	1225237	150	115	0.00358685	3.97031873
eng	fin	English	Finnish	1225237	46271	28195	0.01765664	19.54724008
eng	fra	English	French	1225237	238463	149788	0.05503462	61.01046555
eng	gla	English	Scottish Gaelic	1225237	227	204	0.00708819	7.84613531
eng	heb	English	Hebrew	1225237	10961	8620	0.03352541	37.13026
eng	jpn	English	Japanese	1225237	130893	100739	0.11068869	123.2792181
eng	kor	English	Korean	1225237	22338	17110	0.04384759	48.58177094
eng	mri	English	Maori	1225237	319	310	0.01015946	11.2461252
eng	msa	English	Malay (macrolanguage)	1225237	5416	3672	0.01278913	14.15748866
eng	mya	English	Burmese	1225237	274	225	0.00606155	6.70967737
eng	nld	English	Dutch	1225237	111371	73423	0.05080136	56.3048986
eng	nor	English	Norwegian	1225237	45923	29891	0.02969114	32.87972336
eng	pol	English	Polish	1225237	76720	45183	0.01515644	16.77864475
eng	por	English	Portuguese	1225237	74721	46826	0.02906793	32.18898584
eng	spa	English	Spanish	1225237	228910	128205	0.0075454	8.35226261
eng	ssw	English	Swati	1225237	16	16	0.00242694	2.68639288
eng	swe	English	Swedish	1225237	71688	48892	0.04870908	53.98032179
eng	tha	English	Thai	1225237	1227	1080	0.01561206	17.28315121
eng	xho	English	Xhosa	1225237	23	22	0.00262931	2.91039949
eng	zho	English	Chinese	1225237	62650	40475	0.03315841	36.7233501
eng	zul	English	Zulu	1225237	23	23	0.0029098	3.22088112
enm	eng	Middle English (1100-1500)	English	231	146294	149	0.02382162	26.3757159
est	eng	Estonian	English	5739	146294	1706	0.04753844	52.68001917
est	fin	Estonian	Finnish	5739	46271	394	0.01707667	3.67376629
est	rus	Estonian	Russian	5739	82772	2306	0.09799616	31.35511797
eus	cat	Basque	Catalan	1021	18004	117	0.02547686	3.41937933
eus	eng	Basque	English	1021	146294	98	0.0026311	2.91238256
eus	spa	Basque	Spanish	1021	228910	620	0.0355876	17.03744325
evn	rus	Evenki	Russian	24	82772	18	0.01237114	3.93955362
fao	dan	Faroese	Danish	104	64799	42	0.01523896	3.87956692
fas	ara	Persian	Arabic	2837	12488	168	0.02564621	2.86667055
fas	eng	Persian	English	2837	146294	631	0.02261302	25.03682865
fas	tur	Persian	Turkish	2837	11874	173	0.02729653	2.9753037
fas	urd	Persian	Urdu	2837	1005	64	0.03717791	3.95952181
fil	eng	Filipino (macrolanguage)	English	87	146294	67	0.01777458	19.677847
fin	eng	Finnish	English	8296	146294	1579	0.0307977	34.10625067
fin	est	Finnish	Estonian	8296	20605	952	0.06739292	14.5294048
fin	sme	Finnish	Northern Sami	8296	173	22	0.01786107	3.84257076
fin	smn	Finnish	Inari Sami	8296	15	6	0.01688211	3.63189907
fin	swe	Finnish	Swedish	8296	71688	2726	0.10270546	27.64479928
fra	ara	French	Arabic	216624	12488	2073	0.01746892	8.1317424
fra	bam	French	Bambara	216624	9	9	0.0061249	2.85074507
fra	beh	French	Biali	216624	14	13	0.0070348	3.27426386
fra	box	French	Buamu	216624	30	23	0.00829281	3.85982774
fra	bre	French	Breton	216624	406	225	0.02082854	9.69626123
fra	cat	French	Catalan	216624	18004	3242	0.02528776	11.77336495
fra	cme	French	Cerma	216624	24	16	0.0063096	2.93671399
fra	cos	French	Corsican	216624	50	39	0.0109192	5.08238954
fra	deu	French	German	216624	292124	32328	0.01783852	9.64295137
fra	dos	French	Dogosí©	216624	11	11	0.00677133	3.1516318
fra	ell	French	Modern Greek (1453-)	216624	27422	4830	0.02979272	13.87248593
fra	eng	French	English	216624	146294	28314	0.08631945	95.90524795
fra	gcf	French	Guadeloupean Creole French	216624	22	19	0.00812993	3.78401375
fra	gcr	French	Guianese Creole French	216624	8	8	0.00577461	2.68770202
fra	gng	French	Ngangam	216624	17	14	0.0067727	3.15226662
fra	ita	French	Italian	216624	59830	10982	0.04849236	22.59622231
fra	kzr	French	Karang	216624	17	12	0.00567591	2.64176117
fra	las	French	Lama (Togo)	216624	9	9	0.0061249	2.85074507
fra	muy	French	Muyang	216624	9	9	0.0061249	2.85074507
fra	nld	French	Dutch	216624	111371	11612	0.00557912	2.59670966
fra	nnh	French	Ngiemboon	216624	15	12	0.00615579	2.86512229
fra	oci	French	Occitan (post 1500)	216624	204	160	0.02219578	10.33305326
fra	pcd	French	Picard	216624	10	9	0.00574119	2.67214857
fra	por	French	Portuguese	216624	74721	11415	0.03502463	16.3114047
fra	rcf	French	Rí©union Creole French	216624	16	13	0.00647073	3.01171185
fra	ron	French	Romanian	216624	18464	4240	0.04090322	19.05339446
fra	spa	French	Spanish	216624	228910	36240	0.06995381	33.55112287
fra	tur	French	Turkish	216624	11874	1910	0.01576098	7.33649335
fra	wln	French	Walloon	216624	29	21	0.00763558	3.55390483
fra	wol	French	Wolof	216624	16	13	0.00647073	3.01171185
fra	xsm	French	Kasem	216624	37	20	0.00609956	2.83894968
fri	nld	Western Frisian	Dutch	119	111371	102	0.0270719	9.03774669
frm	eng	Middle French (ca. 1400-1600)	English	267	146294	72	0.00902127	9.98608554
frm	fra	Middle French (ca. 1400-1600)	French	267	238463	117	0.01173295	5.46120457
fro	eng	Old French (842-ca. 1400)	English	902	146294	155	0.00863591	9.5594725
fro	fra	Old French (842-ca. 1400)	French	902	238463	369	0.01967347	9.15833176
ful	fra	Fulah	French	20	238463	17	0.00720151	3.35186072
gag	rus	Gagauz	Russian	19	82772	11	0.00836627	2.66410173
gcf	eng	Guadeloupean Creole French	English	84	146294	14	0.00250665	2.77463295
gcf	fra	Guadeloupean Creole French	French	84	238463	67	0.01371864	6.38562166
gcr	fra	Guianese Creole French	French	17	238463	16	0.00745404	3.4694048
gez	eng	Geez	English	22	146294	8	0.00378154	4.18583096
gla	eng	Scottish Gaelic	English	78	146294	38	0.01007158	11.14882982
gld	rus	Nanai	Russian	39	82772	17	0.00882203	2.80924421
gle	deu	Irish	German	269	292124	82	0.00566239	3.06047436
gle	eng	Irish	English	269	146294	96	0.012924	14.30681369
glg	cat	Galician	Catalan	1346	18004	192	0.03695751	4.96203587
glg	eng	Galician	English	1346	146294	128	0.00293308	3.24664803
glg	spa	Galician	Spanish	1346	228910	787	0.03903788	18.69165861
gmh	deu	Middle High German (ca. 1050-1500)	German	595	292124	351	0.02222472	12.01505609
gmh	eng	Middle High German (ca. 1050-1500)	English	595	146294	73	0.00377039	4.17348317
goh	deu	Old High German (ca. 750-1050)	German	20	292124	15	0.00549498	2.96998933
grc	deu	Ancient Greek (to 1453)	German	17342	292124	2729	0.00694741	3.75504696
grc	eng	Ancient Greek (to 1453)	English	17342	146294	2154	0.02097489	23.22228815
grc	flr	Ancient Greek (to 1453)	Fuliiru	17342	11	9	0.02049026	2.69875306
grc	ife	Ancient Greek (to 1453)	IfíÂ	17342	45	22	0.02460409	3.24088275
grc	ita	Ancient Greek (to 1453)	Italian	17342	59830	875	0.01295679	3.34029463
grc	lat	Ancient Greek (to 1453)	Latin	17342	362	75	0.02892582	4.01372365
grc	mif	Ancient Greek (to 1453)	Mofu-Gudur	17342	26	14	0.02062888	2.71701839
grc	spa	Ancient Greek (to 1453)	Spanish	17342	228910	2502	0.01216664	5.82148039
grc	ted	Ancient Greek (to 1453)	Tepo Krumen	17342	7	7	0.02001273	2.63583258
grc	thd	Ancient Greek (to 1453)	Thayore	17342	11	10	0.02278878	3.00163886
gsc	fra	Gascon	French	11	238463	11	0.00641876	2.98752304
gsw	deu	Swiss German	German	27	292124	17	0.00514329	2.77989641
guj	eng	Gujarati	English	264	146294	70	0.00877218	9.71032745
guj	hin	Gujarati	Hindi	264	3506	115	0.11920323	4.59844247
hat	eng	Haitian	English	22	146294	11	0.00551144	6.1007209
hau	eng	Hausa	English	9	146294	6	0.00487743	5.39891271
haw	eng	Hawaiian	English	18	146294	17	0.0100852	11.16390665
hbs	eng	Serbo-Croatian	English	12743	146294	3899	0.07361525	81.70666463
hbs	hun	Serbo-Croatian	Hungarian	12743	54989	779	0.01783941	4.18388443
hbs	mkd	Serbo-Croatian	Macedonian	12743	3901	524	0.0714278	15.19666404
hbs	rom	Serbo-Croatian	Romany	12743	82	31	0.02995445	6.35955202
hbs	ron	Serbo-Croatian	Romanian	12743	18464	359	0.01664812	3.53342315
hbs	slk	Serbo-Croatian	Slovak	12743	19641	503	0.02488671	5.28289773
hbs	slv	Serbo-Croatian	Slovenian	12743	18719	664	0.03632853	7.7144474
hbs	sqi	Serbo-Croatian	Albanian	12743	6757	739	0.07581381	16.13504875
hbs	ukr	Serbo-Croatian	Ukrainian	12743	4514	190	0.02173765	4.61408318
heb	deu	Hebrew	German	9889	292124	2107	0.01625498	8.78670174
heb	dyo	Hebrew	Jola-Fonyi	9889	7	7	0.02654662	2.64055129
heb	eng	Hebrew	English	9889	146294	2831	0.05949938	65.97695259
heb	yid	Hebrew	Yiddish	9889	89	40	0.04231156	4.2109532
hin	eng	Hindi	English	1469	146294	361	0.01868592	20.687117
hin	ori	Hindi	Oriya (macrolanguage)	1469	752	96	0.0909123	3.49655135
hin	san	Hindi	Sanskrit	1469	58	18	0.06155654	4.03478556
hit	eng	Hittite	English	8	146294	6	0.00523598	5.79579965
hns	nld	Caribbean Hindustani	Dutch	22	111371	22	0.01369974	4.57230491
hop	eng	Hopi	English	20	146294	15	0.00827883	9.16417695
hun	deu	Hungarian	German	11256	292124	2793	0.02475024	13.38118442
hun	eng	Hungarian	English	11256	146294	3182	0.06246726	69.28051935
hun	epo	Hungarian	Esperanto	11256	542	37	0.01391009	3.26213449
hun	rus	Hungarian	Russian	11256	82772	951	0.01785902	5.68762323
hun	slk	Hungarian	Slovak	11256	19641	365	0.01801101	4.22414134
hye	eng	Armenian	English	1100	146294	173	0.00823012	9.11025053
hye	rus	Armenian	Russian	1100	82772	478	0.04670476	14.88810093
iku	dan	Inuktitut	Danish	108	64799	35	0.01222415	3.11192102
iku	eng	Inuktitut	English	108	146294	18	0.00284229	3.14615779
inh	rus	Ingush	Russian	51	82772	45	0.02138201	6.81007466
isl	dan	Icelandic	Danish	1518	64799	225	0.0185196	4.71501928
isl	deu	Icelandic	German	1518	292124	315	0.00592698	3.2034874
isl	eng	Icelandic	English	1518	146294	198	0.00684005	7.57145303
isl	swe	Icelandic	Swedish	1518	71688	189	0.01366967	3.66029228
ita	cat	Italian	Catalan	66453	18004	974	0.01290641	3.3273029
ita	deu	Italian	German	66453	292124	9472	0.00605211	3.27112329
ita	ell	Italian	Modern Greek (1453-)	66453	27422	1309	0.01178643	3.03852811
ita	eng	Italian	English	66453	146294	5612	0.0133811	14.81290817
ita	fra	Italian	French	66453	238463	11610	0.03848667	17.92600356
ita	hbs	Italian	Serbo-Croatian	66453	45036	2836	0.02803003	7.22844684
ita	pol	Italian	Polish	66453	76720	3175	0.01288846	3.57014304
ita	por	Italian	Portuguese	66453	74721	3185	0.01407244	3.84705068
ita	slv	Italian	Slovenian	66453	18719	1016	0.01325826	3.41802739
ita	spa	Italian	Spanish	66453	228910	12497	0.04936635	23.64783179
ita	sqi	Italian	Albanian	66453	6757	528	0.0156817	4.04294034
jpn	eng	Japanese	English	26921	146294	3476	0.02838287	31.42975561
jpn	fra	Japanese	French	26921	238463	8576	0.07572987	35.34820854
jpn	nep	Japanese	Nepali macrolanguage	26921	140	20	0.00948985	3.43347467
jpn	new	Japanese	Newari	26921	25	14	0.01679939	6.078686
jpn	zho	Japanese	Chinese	26921	62650	7196	0.16003665	58.6554414
jvn	nld	Caribbean Javanese	Dutch	9	111371	9	0.00876236	2.92428535
kaa	rus	Kara-Kalpak	Russian	129	82772	95	0.0281362	8.96275384
kab	fra	Kabyle	French	39	238463	38	0.01173922	5.46412487
kal	dan	Kalaallisut	Danish	86	64799	63	0.02601063	6.62331327
kan	eng	Kannada	English	314	146294	97	0.01166466	12.91252518
kas	eng	Kashmiri	English	24	146294	6	0.00244401	2.70529272
kat	rus	Georgian	Russian	1224	82772	666	0.06285064	20.05271393
kaz	rus	Kazakh	Russian	948	82772	669	0.07293469	23.28607597
kbd	rus	Kabardian	Russian	119	82772	102	0.03168792	10.09522078
kca	rus	Khanty	Russian	21	82772	16	0.01176538	3.74662178
khm	eng	Central Khmer	English	51	146294	12	0.0032787	3.62922782
kik	eng	Kikuyu	English	18	146294	10	0.00562277	6.22395906
kir	rus	Kirghiz	Russian	708	82772	366	0.04523429	14.41838127
