Language	ABS(Eigenvector)	Popfrom	Popto
aar	  0.00000000	0	1
aaz	  0.00000000	0	1
abi	  0.00000000	0	6
abk	  0.00006923	171	115
abq	  0.00000522	10	8
abx	  0.00000000	0	1
aby	  0.00000000	0	1
acd	  0.00000000	0	6
acf	  0.00000000	3	3
ach	  0.00000000	3	0
acr	  0.00000000	4	2
adj	  0.00000000	0	4
ady	  0.00004637	75	50
aee	  0.00000000	1	0
afr	  0.00086109	357	776
agq	  0.00000000	0	6
agr	  0.00000000	1	1
agt	  0.00000000	0	9
agx	  0.00000000	0	1
aho	  0.00000000	1	0
aht	  0.00000000	1	0
ain	  0.00000000	1	0
ajg	  0.00000000	0	7
aji	  0.00000000	1	1
aka	  0.00000000	2	2
akc	  0.00000000	0	1
ake	  0.00000000	0	14
akk	  0.00021226	136	0
akl	  0.00000000	0	3
akp	  0.00000000	0	1
alq	  0.00000000	2	4
alt	  0.00003135	56	50
amh	  0.00000000	58	317
amm	  0.00000000	0	1
amx	  0.00000000	1	0
ane	  0.00000000	2	0
ang	  0.00060256	147	8
anv	  0.00000000	0	10
any	  0.00000000	0	7
aoi	  0.00000000	1	1
aom	  0.00000000	0	1
ape	  0.00000000	0	1
apm	  0.00000000	1	0
apn	  0.00000000	0	1
apr	  0.00000000	0	1
apw	  0.00000000	1	0
apz	  0.00000000	0	1
ara	  0.01588606	11884	12488
arc	  0.00113664	347	3
are	  0.00000000	2	0
arg	  0.00000000	5	64
ari	  0.00000000	4	0
ark	  0.00000000	1	0
arn	  0.00000000	9	1
arp	  0.00000000	3	0
arw	  0.00000000	1	1
arx	  0.00000000	1	0
asm	  0.00023965	95	526
aso	  0.00000000	0	1
ast	  0.00003191	73	193
atb	  0.00000000	0	3
atd	  0.00000000	0	4
ati	  0.00000000	0	1
atj	  0.00000000	2	3
ats	  0.00000000	1	0
att	  0.00000000	0	1
atv	  0.00000000	0	1
auu	  0.00000000	0	1
auv	  0.00000000	0	1
ava	  0.00008817	186	64
ave	  0.00000000	17	0
awa	  0.00000000	2	1
axk	  0.00000000	0	7
axm	  0.00000000	2	0
aym	  0.00000000	7	6
ayt	  0.00000000	0	2
aze	  0.00028409	774	1658
azr	  0.00000000	0	1
azz	  0.00000000	1	0
bak	  0.00018743	357	502
bal	  0.00000000	5	1
bam	  0.00005660	29	9
bar	  0.00000000	1	2
bas	  0.00000000	2	3
bav	  0.00000000	0	6
bay	  0.00000000	0	2
bba	  0.00000000	0	4
bbb	  0.00000000	0	1
bbj	  0.00000000	0	3
bca	  0.00000000	0	2
bci	  0.00000000	1	0
bcj	  0.00000000	0	1
bcq	  0.00000000	0	3
bcw	  0.00000000	0	7
bdm	  0.00002943	13	3
bdy	  0.00000000	1	0
beh	  0.00000000	0	14
bel	  0.00046173	1409	1874
bem	  0.00000000	0	1
ben	  0.00334541	2223	1878
beq	  0.00000000	5	0
bet	  0.00000000	1	0
bev	  0.00000000	1	0
bfd	  0.00000000	0	6
bho	  0.00000000	2	0
bhy	  0.00000000	0	3
bib	  0.00000000	0	12
bik	  0.00000000	0	2
bim	  0.00000000	0	9
bis	  0.00000000	2	2
biv	  0.00000000	0	4
bji	  0.00000000	0	1
bjt	  0.00000000	0	2
bkb	  0.00000000	0	1
bkc	  0.00000000	3	0
bkd	  0.00000000	0	4
bkm	  0.00000000	0	19
bla	  0.00000000	2	4
blw	  0.00000000	0	5
bmy	  0.00000000	0	1
bnc	  0.00000000	0	13
bno	  0.00000000	0	1
bod	  0.00356449	1508	344
bov	  0.00000000	0	1
box	  0.00000000	0	30
bpr	  0.00000000	0	1
bps	  0.00000000	0	11
bra	  0.00000000	11	2
bre	  0.00033737	212	406
brh	  0.00000000	1	1
bsk	  0.00000000	1	0
bss	  0.00000000	0	5
bst	  0.00000000	0	1
btg	  0.00000000	1	0
bua	  0.00007249	128	47
bug	  0.00000000	1	0
bul	  0.00371912	3667	25742
bum	  0.00000000	2	2
buu	  0.00000000	0	3
bvr	  0.00000000	3	3
bvz	  0.00000000	0	1
bwi	  0.00000000	1	0
bwu	  0.00000000	0	4
byv	  0.00000000	0	2
bzj	  0.00000000	2	0
caa	  0.00000000	0	1
cab	  0.00000000	1	0
cag	  0.00000000	0	1
cak	  0.00000000	3	1
car	  0.00000000	12	3
cat	  0.00949586	8328	18004
cay	  0.00000000	0	2
cbk	  0.00000000	1	0
cbs	  0.00000000	1	0
cbt	  0.00000000	0	1
ceb	  0.00000000	3	11
ces	  0.02775867	17202	64442
cgc	  0.00000000	0	4
chc	  0.00000000	1	0
che	  0.00004049	80	57
chg	  0.00000000	19	0
chk	  0.00000000	0	1
